freq_offset_hz,active_frames,occupancy_fraction
-500000.0,0,0.0000
-499023.4,0,0.0000
-498046.9,0,0.0000
-497070.3,0,0.0000
-496093.8,0,0.0000
-495117.2,0,0.0000
-494140.6,0,0.0000
-493164.1,0,0.0000
-492187.5,0,0.0000
-491210.9,0,0.0000
-490234.4,0,0.0000
-489257.8,0,0.0000
-488281.2,0,0.0000
-487304.7,0,0.0000
-486328.1,0,0.0000
-485351.6,0,0.0000
-484375.0,0,0.0000
-483398.4,0,0.0000
-482421.9,0,0.0000
-481445.3,0,0.0000
-480468.8,0,0.0000
-479492.2,0,0.0000
-478515.6,0,0.0000
-477539.1,0,0.0000
-476562.5,0,0.0000
-475585.9,0,0.0000
-474609.4,0,0.0000
-473632.8,0,0.0000
-472656.2,0,0.0000
-471679.7,0,0.0000
-470703.1,8,0.0014
-469726.6,79,0.0135
-468750.0,0,0.0000
-467773.4,0,0.0000
-466796.9,0,0.0000
-465820.3,0,0.0000
-464843.8,0,0.0000
-463867.2,0,0.0000
-462890.6,0,0.0000
-461914.1,0,0.0000
-460937.5,0,0.0000
-459960.9,0,0.0000
-458984.4,0,0.0000
-458007.8,0,0.0000
-457031.2,0,0.0000
-456054.7,0,0.0000
-455078.1,0,0.0000
-454101.6,0,0.0000
-453125.0,0,0.0000
-452148.4,0,0.0000
-451171.9,0,0.0000
-450195.3,0,0.0000
-449218.8,0,0.0000
-448242.2,0,0.0000
-447265.6,0,0.0000
-446289.1,0,0.0000
-445312.5,0,0.0000
-444335.9,0,0.0000
-443359.4,0,0.0000
-442382.8,0,0.0000
-441406.2,0,0.0000
-440429.7,0,0.0000
-439453.1,0,0.0000
-438476.6,0,0.0000
-437500.0,0,0.0000
-436523.4,0,0.0000
-435546.9,0,0.0000
-434570.3,0,0.0000
-433593.8,0,0.0000
-432617.2,0,0.0000
-431640.6,0,0.0000
-430664.1,0,0.0000
-429687.5,0,0.0000
-428710.9,0,0.0000
-427734.4,0,0.0000
-426757.8,0,0.0000
-425781.2,0,0.0000
-424804.7,0,0.0000
-423828.1,0,0.0000
-422851.6,0,0.0000
-421875.0,0,0.0000
-420898.4,0,0.0000
-419921.9,0,0.0000
-418945.3,0,0.0000
-417968.8,0,0.0000
-416992.2,0,0.0000
-416015.6,0,0.0000
-415039.1,0,0.0000
-414062.5,0,0.0000
-413085.9,0,0.0000
-412109.4,0,0.0000
-411132.8,0,0.0000
-410156.2,0,0.0000
-409179.7,0,0.0000
-408203.1,0,0.0000
-407226.6,0,0.0000
-406250.0,0,0.0000
-405273.4,0,0.0000
-404296.9,0,0.0000
-403320.3,0,0.0000
-402343.8,0,0.0000
-401367.2,0,0.0000
-400390.6,0,0.0000
-399414.1,0,0.0000
-398437.5,0,0.0000
-397460.9,0,0.0000
-396484.4,0,0.0000
-395507.8,0,0.0000
-394531.2,0,0.0000
-393554.7,0,0.0000
-392578.1,0,0.0000
-391601.6,0,0.0000
-390625.0,0,0.0000
-389648.4,0,0.0000
-388671.9,0,0.0000
-387695.3,0,0.0000
-386718.8,0,0.0000
-385742.2,0,0.0000
-384765.6,0,0.0000
-383789.1,0,0.0000
-382812.5,0,0.0000
-381835.9,0,0.0000
-380859.4,0,0.0000
-379882.8,0,0.0000
-378906.2,0,0.0000
-377929.7,0,0.0000
-376953.1,0,0.0000
-375976.6,0,0.0000
-375000.0,0,0.0000
-374023.4,0,0.0000
-373046.9,0,0.0000
-372070.3,0,0.0000
-371093.8,0,0.0000
-370117.2,0,0.0000
-369140.6,0,0.0000
-368164.1,0,0.0000
-367187.5,0,0.0000
-366210.9,0,0.0000
-365234.4,0,0.0000
-364257.8,0,0.0000
-363281.2,0,0.0000
-362304.7,0,0.0000
-361328.1,0,0.0000
-360351.6,0,0.0000
-359375.0,0,0.0000
-358398.4,0,0.0000
-357421.9,0,0.0000
-356445.3,0,0.0000
-355468.8,0,0.0000
-354492.2,0,0.0000
-353515.6,0,0.0000
-352539.1,0,0.0000
-351562.5,0,0.0000
-350585.9,0,0.0000
-349609.4,0,0.0000
-348632.8,0,0.0000
-347656.2,0,0.0000
-346679.7,0,0.0000
-345703.1,0,0.0000
-344726.6,0,0.0000
-343750.0,0,0.0000
-342773.4,0,0.0000
-341796.9,0,0.0000
-340820.3,0,0.0000
-339843.8,0,0.0000
-338867.2,0,0.0000
-337890.6,0,0.0000
-336914.1,0,0.0000
-335937.5,0,0.0000
-334960.9,0,0.0000
-333984.4,0,0.0000
-333007.8,0,0.0000
-332031.2,0,0.0000
-331054.7,0,0.0000
-330078.1,0,0.0000
-329101.6,0,0.0000
-328125.0,0,0.0000
-327148.4,0,0.0000
-326171.9,0,0.0000
-325195.3,0,0.0000
-324218.8,0,0.0000
-323242.2,0,0.0000
-322265.6,0,0.0000
-321289.1,0,0.0000
-320312.5,0,0.0000
-319335.9,0,0.0000
-318359.4,58,0.0099
-317382.8,175,0.0299
-316406.2,0,0.0000
-315429.7,0,0.0000
-314453.1,0,0.0000
-313476.6,0,0.0000
-312500.0,0,0.0000
-311523.4,0,0.0000
-310546.9,0,0.0000
-309570.3,0,0.0000
-308593.8,0,0.0000
-307617.2,0,0.0000
-306640.6,0,0.0000
-305664.1,0,0.0000
-304687.5,0,0.0000
-303710.9,0,0.0000
-302734.4,0,0.0000
-301757.8,0,0.0000
-300781.2,0,0.0000
-299804.7,0,0.0000
-298828.1,0,0.0000
-297851.6,0,0.0000
-296875.0,0,0.0000
-295898.4,0,0.0000
-294921.9,0,0.0000
-293945.3,0,0.0000
-292968.8,0,0.0000
-291992.2,0,0.0000
-291015.6,0,0.0000
-290039.1,0,0.0000
-289062.5,0,0.0000
-288085.9,0,0.0000
-287109.4,0,0.0000
-286132.8,0,0.0000
-285156.2,0,0.0000
-284179.7,0,0.0000
-283203.1,0,0.0000
-282226.6,0,0.0000
-281250.0,0,0.0000
-280273.4,0,0.0000
-279296.9,0,0.0000
-278320.3,0,0.0000
-277343.8,0,0.0000
-276367.2,0,0.0000
-275390.6,0,0.0000
-274414.1,0,0.0000
-273437.5,0,0.0000
-272460.9,0,0.0000
-271484.4,0,0.0000
-270507.8,0,0.0000
-269531.2,0,0.0000
-268554.7,0,0.0000
-267578.1,0,0.0000
-266601.6,0,0.0000
-265625.0,0,0.0000
-264648.4,0,0.0000
-263671.9,0,0.0000
-262695.3,0,0.0000
-261718.8,0,0.0000
-260742.2,0,0.0000
-259765.6,0,0.0000
-258789.1,0,0.0000
-257812.5,0,0.0000
-256835.9,0,0.0000
-255859.4,0,0.0000
-254882.8,0,0.0000
-253906.2,0,0.0000
-252929.7,0,0.0000
-251953.1,0,0.0000
-250976.6,0,0.0000
-250000.0,0,0.0000
-249023.4,0,0.0000
-248046.9,0,0.0000
-247070.3,0,0.0000
-246093.8,0,0.0000
-245117.2,0,0.0000
-244140.6,0,0.0000
-243164.1,0,0.0000
-242187.5,0,0.0000
-241210.9,0,0.0000
-240234.4,0,0.0000
-239257.8,0,0.0000
-238281.2,0,0.0000
-237304.7,0,0.0000
-236328.1,0,0.0000
-235351.6,0,0.0000
-234375.0,0,0.0000
-233398.4,0,0.0000
-232421.9,0,0.0000
-231445.3,0,0.0000
-230468.8,0,0.0000
-229492.2,0,0.0000
-228515.6,0,0.0000
-227539.1,0,0.0000
-226562.5,0,0.0000
-225585.9,0,0.0000
-224609.4,0,0.0000
-223632.8,0,0.0000
-222656.2,0,0.0000
-221679.7,0,0.0000
-220703.1,0,0.0000
-219726.6,0,0.0000
-218750.0,0,0.0000
-217773.4,0,0.0000
-216796.9,0,0.0000
-215820.3,0,0.0000
-214843.8,0,0.0000
-213867.2,0,0.0000
-212890.6,0,0.0000
-211914.1,0,0.0000
-210937.5,0,0.0000
-209960.9,0,0.0000
-208984.4,0,0.0000
-208007.8,0,0.0000
-207031.2,0,0.0000
-206054.7,0,0.0000
-205078.1,0,0.0000
-204101.6,0,0.0000
-203125.0,0,0.0000
-202148.4,0,0.0000
-201171.9,0,0.0000
-200195.3,0,0.0000
-199218.8,0,0.0000
-198242.2,0,0.0000
-197265.6,0,0.0000
-196289.1,0,0.0000
-195312.5,0,0.0000
-194335.9,0,0.0000
-193359.4,0,0.0000
-192382.8,0,0.0000
-191406.2,0,0.0000
-190429.7,0,0.0000
-189453.1,0,0.0000
-188476.6,0,0.0000
-187500.0,0,0.0000
-186523.4,0,0.0000
-185546.9,0,0.0000
-184570.3,0,0.0000
-183593.8,0,0.0000
-182617.2,0,0.0000
-181640.6,0,0.0000
-180664.1,0,0.0000
-179687.5,0,0.0000
-178710.9,0,0.0000
-177734.4,0,0.0000
-176757.8,0,0.0000
-175781.2,0,0.0000
-174804.7,0,0.0000
-173828.1,0,0.0000
-172851.6,0,0.0000
-171875.0,0,0.0000
-170898.4,0,0.0000
-169921.9,0,0.0000
-168945.3,0,0.0000
-167968.8,0,0.0000
-166992.2,0,0.0000
-166015.6,0,0.0000
-165039.1,0,0.0000
-164062.5,0,0.0000
-163085.9,0,0.0000
-162109.4,0,0.0000
-161132.8,0,0.0000
-160156.2,0,0.0000
-159179.7,0,0.0000
-158203.1,0,0.0000
-157226.6,0,0.0000
-156250.0,0,0.0000
-155273.4,0,0.0000
-154296.9,0,0.0000
-153320.3,0,0.0000
-152343.8,0,0.0000
-151367.2,0,0.0000
-150390.6,0,0.0000
-149414.1,0,0.0000
-148437.5,0,0.0000
-147460.9,0,0.0000
-146484.4,0,0.0000
-145507.8,0,0.0000
-144531.2,0,0.0000
-143554.7,0,0.0000
-142578.1,0,0.0000
-141601.6,0,0.0000
-140625.0,64,0.0109
-139648.4,136,0.0232
-138671.9,0,0.0000
-137695.3,0,0.0000
-136718.8,0,0.0000
-135742.2,0,0.0000
-134765.6,0,0.0000
-133789.1,0,0.0000
-132812.5,0,0.0000
-131835.9,0,0.0000
-130859.4,0,0.0000
-129882.8,0,0.0000
-128906.2,0,0.0000
-127929.7,0,0.0000
-126953.1,0,0.0000
-125976.6,0,0.0000
-125000.0,0,0.0000
-124023.4,0,0.0000
-123046.9,0,0.0000
-122070.3,0,0.0000
-121093.8,0,0.0000
-120117.2,0,0.0000
-119140.6,0,0.0000
-118164.1,0,0.0000
-117187.5,0,0.0000
-116210.9,0,0.0000
-115234.4,0,0.0000
-114257.8,0,0.0000
-113281.2,0,0.0000
-112304.7,0,0.0000
-111328.1,0,0.0000
-110351.6,0,0.0000
-109375.0,0,0.0000
-108398.4,0,0.0000
-107421.9,0,0.0000
-106445.3,0,0.0000
-105468.8,0,0.0000
-104492.2,0,0.0000
-103515.6,0,0.0000
-102539.1,0,0.0000
-101562.5,0,0.0000
-100585.9,0,0.0000
-99609.4,0,0.0000
-98632.8,0,0.0000
-97656.2,0,0.0000
-96679.7,0,0.0000
-95703.1,0,0.0000
-94726.6,0,0.0000
-93750.0,0,0.0000
-92773.4,0,0.0000
-91796.9,0,0.0000
-90820.3,0,0.0000
-89843.8,0,0.0000
-88867.2,0,0.0000
-87890.6,0,0.0000
-86914.1,0,0.0000
-85937.5,0,0.0000
-84960.9,0,0.0000
-83984.4,0,0.0000
-83007.8,0,0.0000
-82031.2,0,0.0000
-81054.7,0,0.0000
-80078.1,0,0.0000
-79101.6,0,0.0000
-78125.0,0,0.0000
-77148.4,0,0.0000
-76171.9,0,0.0000
-75195.3,0,0.0000
-74218.8,0,0.0000
-73242.2,0,0.0000
-72265.6,0,0.0000
-71289.1,0,0.0000
-70312.5,0,0.0000
-69335.9,0,0.0000
-68359.4,0,0.0000
-67382.8,0,0.0000
-66406.2,0,0.0000
-65429.7,0,0.0000
-64453.1,0,0.0000
-63476.6,0,0.0000
-62500.0,0,0.0000
-61523.4,0,0.0000
-60546.9,0,0.0000
-59570.3,0,0.0000
-58593.8,0,0.0000
-57617.2,0,0.0000
-56640.6,0,0.0000
-55664.1,0,0.0000
-54687.5,0,0.0000
-53710.9,0,0.0000
-52734.4,0,0.0000
-51757.8,0,0.0000
-50781.2,0,0.0000
-49804.7,0,0.0000
-48828.1,0,0.0000
-47851.6,0,0.0000
-46875.0,0,0.0000
-45898.4,0,0.0000
-44921.9,0,0.0000
-43945.3,0,0.0000
-42968.8,0,0.0000
-41992.2,0,0.0000
-41015.6,0,0.0000
-40039.1,0,0.0000
-39062.5,0,0.0000
-38085.9,0,0.0000
-37109.4,0,0.0000
-36132.8,0,0.0000
-35156.2,0,0.0000
-34179.7,0,0.0000
-33203.1,0,0.0000
-32226.6,0,0.0000
-31250.0,0,0.0000
-30273.4,0,0.0000
-29296.9,0,0.0000
-28320.3,0,0.0000
-27343.8,0,0.0000
-26367.2,0,0.0000
-25390.6,0,0.0000
-24414.1,0,0.0000
-23437.5,0,0.0000
-22460.9,0,0.0000
-21484.4,0,0.0000
-20507.8,0,0.0000
-19531.2,0,0.0000
-18554.7,0,0.0000
-17578.1,0,0.0000
-16601.6,0,0.0000
-15625.0,0,0.0000
-14648.4,0,0.0000
-13671.9,0,0.0000
-12695.3,0,0.0000
-11718.8,0,0.0000
-10742.2,0,0.0000
-9765.6,0,0.0000
-8789.1,0,0.0000
-7812.5,2,0.0003
-6835.9,3,0.0005
-5859.4,2,0.0003
-4882.8,0,0.0000
-3906.2,0,0.0000
-2929.7,0,0.0000
-1953.1,0,0.0000
-976.6,0,0.0000
0.0,0,0.0000
976.6,0,0.0000
1953.1,0,0.0000
2929.7,0,0.0000
3906.2,0,0.0000
4882.8,0,0.0000
5859.4,3,0.0005
6835.9,3,0.0005
7812.5,1,0.0002
8789.1,0,0.0000
9765.6,0,0.0000
10742.2,2,0.0003
11718.8,1,0.0002
12695.3,0,0.0000
13671.9,0,0.0000
14648.4,0,0.0000
15625.0,0,0.0000
16601.6,0,0.0000
17578.1,0,0.0000
18554.7,0,0.0000
19531.2,0,0.0000
20507.8,0,0.0000
21484.4,0,0.0000
22460.9,0,0.0000
23437.5,0,0.0000
24414.1,0,0.0000
25390.6,0,0.0000
26367.2,0,0.0000
27343.8,0,0.0000
28320.3,0,0.0000
29296.9,0,0.0000
30273.4,0,0.0000
31250.0,0,0.0000
32226.6,0,0.0000
33203.1,0,0.0000
34179.7,0,0.0000
35156.2,0,0.0000
36132.8,0,0.0000
37109.4,0,0.0000
38085.9,0,0.0000
39062.5,0,0.0000
40039.1,0,0.0000
41015.6,0,0.0000
41992.2,0,0.0000
42968.8,0,0.0000
43945.3,0,0.0000
44921.9,0,0.0000
45898.4,0,0.0000
46875.0,0,0.0000
47851.6,0,0.0000
48828.1,0,0.0000
49804.7,0,0.0000
50781.2,0,0.0000
51757.8,0,0.0000
52734.4,0,0.0000
53710.9,0,0.0000
54687.5,0,0.0000
55664.1,0,0.0000
56640.6,0,0.0000
57617.2,0,0.0000
58593.8,0,0.0000
59570.3,0,0.0000
60546.9,0,0.0000
61523.4,0,0.0000
62500.0,0,0.0000
63476.6,0,0.0000
64453.1,0,0.0000
65429.7,0,0.0000
66406.2,0,0.0000
67382.8,0,0.0000
68359.4,0,0.0000
69335.9,0,0.0000
70312.5,0,0.0000
71289.1,0,0.0000
72265.6,0,0.0000
73242.2,0,0.0000
74218.8,0,0.0000
75195.3,0,0.0000
76171.9,0,0.0000
77148.4,0,0.0000
78125.0,0,0.0000
79101.6,0,0.0000
80078.1,0,0.0000
81054.7,0,0.0000
82031.2,0,0.0000
83007.8,0,0.0000
83984.4,0,0.0000
84960.9,0,0.0000
85937.5,0,0.0000
86914.1,0,0.0000
87890.6,0,0.0000
88867.2,0,0.0000
89843.8,0,0.0000
90820.3,0,0.0000
91796.9,0,0.0000
92773.4,0,0.0000
93750.0,0,0.0000
94726.6,0,0.0000
95703.1,0,0.0000
96679.7,0,0.0000
97656.2,0,0.0000
98632.8,0,0.0000
99609.4,0,0.0000
100585.9,0,0.0000
101562.5,0,0.0000
102539.1,0,0.0000
103515.6,0,0.0000
104492.2,0,0.0000
105468.8,0,0.0000
106445.3,0,0.0000
107421.9,0,0.0000
108398.4,0,0.0000
109375.0,0,0.0000
110351.6,0,0.0000
111328.1,0,0.0000
112304.7,0,0.0000
113281.2,0,0.0000
114257.8,0,0.0000
115234.4,0,0.0000
116210.9,0,0.0000
117187.5,0,0.0000
118164.1,0,0.0000
119140.6,0,0.0000
120117.2,0,0.0000
121093.8,0,0.0000
122070.3,0,0.0000
123046.9,0,0.0000
124023.4,0,0.0000
125000.0,0,0.0000
125976.6,0,0.0000
126953.1,0,0.0000
127929.7,0,0.0000
128906.2,0,0.0000
129882.8,0,0.0000
130859.4,0,0.0000
131835.9,0,0.0000
132812.5,0,0.0000
133789.1,0,0.0000
134765.6,0,0.0000
135742.2,0,0.0000
136718.8,0,0.0000
137695.3,0,0.0000
138671.9,76,0.0130
139648.4,183,0.0312
140625.0,0,0.0000
141601.6,0,0.0000
142578.1,0,0.0000
143554.7,0,0.0000
144531.2,0,0.0000
145507.8,0,0.0000
146484.4,0,0.0000
147460.9,0,0.0000
148437.5,0,0.0000
149414.1,0,0.0000
150390.6,0,0.0000
151367.2,0,0.0000
152343.8,0,0.0000
153320.3,0,0.0000
154296.9,0,0.0000
155273.4,0,0.0000
156250.0,0,0.0000
157226.6,0,0.0000
158203.1,0,0.0000
159179.7,0,0.0000
160156.2,0,0.0000
161132.8,0,0.0000
162109.4,0,0.0000
163085.9,0,0.0000
164062.5,0,0.0000
165039.1,0,0.0000
166015.6,0,0.0000
166992.2,0,0.0000
167968.8,0,0.0000
168945.3,0,0.0000
169921.9,0,0.0000
170898.4,0,0.0000
171875.0,0,0.0000
172851.6,0,0.0000
173828.1,0,0.0000
174804.7,0,0.0000
175781.2,0,0.0000
176757.8,0,0.0000
177734.4,0,0.0000
178710.9,0,0.0000
179687.5,0,0.0000
180664.1,0,0.0000
181640.6,0,0.0000
182617.2,0,0.0000
183593.8,0,0.0000
184570.3,0,0.0000
185546.9,0,0.0000
186523.4,0,0.0000
187500.0,0,0.0000
188476.6,0,0.0000
189453.1,0,0.0000
190429.7,0,0.0000
191406.2,0,0.0000
192382.8,0,0.0000
193359.4,0,0.0000
194335.9,0,0.0000
195312.5,0,0.0000
196289.1,0,0.0000
197265.6,0,0.0000
198242.2,0,0.0000
199218.8,0,0.0000
200195.3,0,0.0000
201171.9,0,0.0000
202148.4,0,0.0000
203125.0,0,0.0000
204101.6,0,0.0000
205078.1,0,0.0000
206054.7,0,0.0000
207031.2,0,0.0000
208007.8,0,0.0000
208984.4,0,0.0000
209960.9,0,0.0000
210937.5,0,0.0000
211914.1,0,0.0000
212890.6,0,0.0000
213867.2,0,0.0000
214843.8,42,0.0072
215820.3,107,0.0183
216796.9,1,0.0002
217773.4,0,0.0000
218750.0,0,0.0000
219726.6,0,0.0000
220703.1,0,0.0000
221679.7,0,0.0000
222656.2,0,0.0000
223632.8,0,0.0000
224609.4,0,0.0000
225585.9,0,0.0000
226562.5,0,0.0000
227539.1,0,0.0000
228515.6,0,0.0000
229492.2,0,0.0000
230468.8,0,0.0000
231445.3,0,0.0000
232421.9,0,0.0000
233398.4,0,0.0000
234375.0,0,0.0000
235351.6,0,0.0000
236328.1,0,0.0000
237304.7,0,0.0000
238281.2,0,0.0000
239257.8,0,0.0000
240234.4,0,0.0000
241210.9,0,0.0000
242187.5,0,0.0000
243164.1,0,0.0000
244140.6,0,0.0000
245117.2,0,0.0000
246093.8,0,0.0000
247070.3,0,0.0000
248046.9,0,0.0000
249023.4,0,0.0000
250000.0,0,0.0000
250976.6,0,0.0000
251953.1,0,0.0000
252929.7,0,0.0000
253906.2,0,0.0000
254882.8,0,0.0000
255859.4,0,0.0000
256835.9,0,0.0000
257812.5,0,0.0000
258789.1,0,0.0000
259765.6,0,0.0000
260742.2,0,0.0000
261718.8,0,0.0000
262695.3,0,0.0000
263671.9,0,0.0000
264648.4,0,0.0000
265625.0,0,0.0000
266601.6,0,0.0000
267578.1,0,0.0000
268554.7,0,0.0000
269531.2,0,0.0000
270507.8,0,0.0000
271484.4,0,0.0000
272460.9,0,0.0000
273437.5,0,0.0000
274414.1,0,0.0000
275390.6,0,0.0000
276367.2,0,0.0000
277343.8,0,0.0000
278320.3,0,0.0000
279296.9,0,0.0000
280273.4,0,0.0000
281250.0,0,0.0000
282226.6,0,0.0000
283203.1,0,0.0000
284179.7,0,0.0000
285156.2,0,0.0000
286132.8,0,0.0000
287109.4,0,0.0000
288085.9,0,0.0000
289062.5,0,0.0000
290039.1,0,0.0000
291015.6,0,0.0000
291992.2,0,0.0000
292968.8,0,0.0000
293945.3,0,0.0000
294921.9,0,0.0000
295898.4,0,0.0000
296875.0,0,0.0000
297851.6,0,0.0000
298828.1,0,0.0000
299804.7,0,0.0000
300781.2,0,0.0000
301757.8,0,0.0000
302734.4,0,0.0000
303710.9,0,0.0000
304687.5,0,0.0000
305664.1,0,0.0000
306640.6,0,0.0000
307617.2,0,0.0000
308593.8,0,0.0000
309570.3,0,0.0000
310546.9,0,0.0000
311523.4,0,0.0000
312500.0,0,0.0000
313476.6,0,0.0000
314453.1,0,0.0000
315429.7,0,0.0000
316406.2,0,0.0000
317382.8,0,0.0000
318359.4,0,0.0000
319335.9,0,0.0000
320312.5,0,0.0000
321289.1,0,0.0000
322265.6,0,0.0000
323242.2,0,0.0000
324218.8,0,0.0000
325195.3,0,0.0000
326171.9,0,0.0000
327148.4,0,0.0000
328125.0,0,0.0000
329101.6,0,0.0000
330078.1,0,0.0000
331054.7,0,0.0000
332031.2,0,0.0000
333007.8,0,0.0000
333984.4,0,0.0000
334960.9,0,0.0000
335937.5,0,0.0000
336914.1,0,0.0000
337890.6,0,0.0000
338867.2,0,0.0000
339843.8,0,0.0000
340820.3,0,0.0000
341796.9,0,0.0000
342773.4,0,0.0000
343750.0,0,0.0000
344726.6,0,0.0000
345703.1,0,0.0000
346679.7,0,0.0000
347656.2,0,0.0000
348632.8,0,0.0000
349609.4,0,0.0000
350585.9,0,0.0000
351562.5,0,0.0000
352539.1,0,0.0000
353515.6,0,0.0000
354492.2,0,0.0000
355468.8,0,0.0000
356445.3,0,0.0000
357421.9,0,0.0000
358398.4,0,0.0000
359375.0,0,0.0000
360351.6,0,0.0000
361328.1,0,0.0000
362304.7,0,0.0000
363281.2,0,0.0000
364257.8,0,0.0000
365234.4,0,0.0000
366210.9,0,0.0000
367187.5,0,0.0000
368164.1,0,0.0000
369140.6,0,0.0000
370117.2,0,0.0000
371093.8,0,0.0000
372070.3,0,0.0000
373046.9,0,0.0000
374023.4,0,0.0000
375000.0,0,0.0000
375976.6,0,0.0000
376953.1,0,0.0000
377929.7,0,0.0000
378906.2,0,0.0000
379882.8,0,0.0000
380859.4,0,0.0000
381835.9,0,0.0000
382812.5,0,0.0000
383789.1,0,0.0000
384765.6,0,0.0000
385742.2,0,0.0000
386718.8,0,0.0000
387695.3,0,0.0000
388671.9,0,0.0000
389648.4,0,0.0000
390625.0,0,0.0000
391601.6,0,0.0000
392578.1,0,0.0000
393554.7,0,0.0000
394531.2,0,0.0000
395507.8,0,0.0000
396484.4,0,0.0000
397460.9,0,0.0000
398437.5,0,0.0000
399414.1,0,0.0000
400390.6,0,0.0000
401367.2,0,0.0000
402343.8,0,0.0000
403320.3,0,0.0000
404296.9,0,0.0000
405273.4,0,0.0000
406250.0,0,0.0000
407226.6,0,0.0000
408203.1,0,0.0000
409179.7,0,0.0000
410156.2,0,0.0000
411132.8,0,0.0000
412109.4,0,0.0000
413085.9,0,0.0000
414062.5,0,0.0000
415039.1,0,0.0000
416015.6,0,0.0000
416992.2,0,0.0000
417968.8,0,0.0000
418945.3,0,0.0000
419921.9,0,0.0000
420898.4,0,0.0000
421875.0,0,0.0000
422851.6,0,0.0000
423828.1,0,0.0000
424804.7,0,0.0000
425781.2,0,0.0000
426757.8,0,0.0000
427734.4,0,0.0000
428710.9,0,0.0000
429687.5,0,0.0000
430664.1,0,0.0000
431640.6,0,0.0000
432617.2,0,0.0000
433593.8,0,0.0000
434570.3,0,0.0000
435546.9,0,0.0000
436523.4,0,0.0000
437500.0,0,0.0000
438476.6,0,0.0000
439453.1,0,0.0000
440429.7,0,0.0000
441406.2,0,0.0000
442382.8,0,0.0000
443359.4,0,0.0000
444335.9,0,0.0000
445312.5,0,0.0000
446289.1,0,0.0000
447265.6,0,0.0000
448242.2,0,0.0000
449218.8,0,0.0000
450195.3,0,0.0000
451171.9,0,0.0000
452148.4,0,0.0000
453125.0,0,0.0000
454101.6,0,0.0000
455078.1,0,0.0000
456054.7,0,0.0000
457031.2,0,0.0000
458007.8,0,0.0000
458984.4,0,0.0000
459960.9,0,0.0000
460937.5,0,0.0000
461914.1,0,0.0000
462890.6,0,0.0000
463867.2,0,0.0000
464843.8,0,0.0000
465820.3,0,0.0000
466796.9,0,0.0000
467773.4,0,0.0000
468750.0,0,0.0000
469726.6,0,0.0000
470703.1,0,0.0000
471679.7,0,0.0000
472656.2,0,0.0000
473632.8,0,0.0000
474609.4,0,0.0000
475585.9,0,0.0000
476562.5,0,0.0000
477539.1,0,0.0000
478515.6,0,0.0000
479492.2,0,0.0000
480468.8,0,0.0000
481445.3,0,0.0000
482421.9,0,0.0000
483398.4,0,0.0000
484375.0,0,0.0000
485351.6,0,0.0000
486328.1,0,0.0000
487304.7,0,0.0000
488281.2,0,0.0000
489257.8,0,0.0000
490234.4,0,0.0000
491210.9,0,0.0000
492187.5,0,0.0000
493164.1,0,0.0000
494140.6,0,0.0000
495117.2,0,0.0000
496093.8,0,0.0000
497070.3,0,0.0000
498046.9,0,0.0000
499023.4,0,0.0000
